rangi	r ã ɡ i
mwena	m w e n a
kenya	k ẽ j a
mwaka	m w a k a
ini	ĩ n i
iria	i r i a
rwa	r w a
iní	ĩ n i
thutha	s u s a
ona	o n a
nginya	m ĩ j a
nene	n e n e
hena	h e n a
mbere	b e r e
nairobi	n a i r o b i
imwe	ĩ w e
inì	i n i
bururi	b u r u r i
kia	k i a
mweri	m w e r i
kuuma	k u m a
inî	ĩ n i
degrees	d e ɡ r e s
kuma	k u m a
andú	ẽ d u
thaa	s a
magana	m a ɡ a n a
ikumi	i k u m i
mbura	b u r a
andu	ã d u
inya	ĩ j a
kĩa	k e a
matu	m a t u
maita	m a i t a
wake	w a k e
kenda	k ẽ d a
múthenya	m u s ẽ j a
kìa	k i a
inyanya	ĩ j ã j a
būrūri	b u r u r i
igana	i ɡ a n a
ithano	i s a n o
wega	w e ɡ a
ngiri	m i r i
muno	m u n o
kiumia	k i u m i a
ithimi	i s i m i
nginyagia	m ĩ j a ɡ i a
kuria	k u r i a
mìrongo	m i r o ɡ o
irio	i r i o
barabara	b a r a b a r a
búrúri	b u r u r i
ici	i t i
múno	m u n o
mūno	m u n o
rìa	r i a
ūrìa	u r i a
hari	h a r i
hinya	h ĩ j a
green	ɡ r e ẽ
heho	h e h o
uria	u r i a
ìno	ĩ n o
amu	a m u
ngui	m w i
makiria	m a k i r i a
ìmwe	ĩ w e
africa	a f r i t a
hau	h a w
igiri	i ɡ i r i
kía	k i a
wayo	w a j o
bûrûri	b u r u r i
gia	ɡ i a
blue	b l u e
ena	e n a
indo	ĩ d o
nacio	n a t i o
ũrĩa	o r e a
aria	a r i a
kenyatta	k e m a t a
ari	a r i
mĩrongo	m e r o ɡ o
ìrì	i r i
kîa	k i a
mathaa	m a s a
road	r o a t
mîrongo	m i r õ ɡ o
thì	s i
ihenya	i h ẽ j a
ino	i n o
mirongo	m i r õ ɡ o
oho	o h o
wao	w a o
múndú	m ũ d u
ciana	t i a n a
mita	m i t a
mūndū	m ũ d u
ría	r i a
tondū	t o d u
ihinda	i h ĩ d a
maya	m a j a
thirikari	s i r i k a r i
haria	h a r i a
kilomita	k i l o m i t a
mírogo	m i r o ɡ o
ngoikoni	m o i k o n i
uhuru	u h u r u
ĩno	e n o
hamwe	h a m w e
mathako	m a s a k o
tene	t e n e
ùria	u r i a
búruri	b u r u r i
iri	i r i
mwana	m w a n a
niguo	n i ɡ u o
ríría	r i r i a
mûno	m u n o
wothe	w o s e
ati	a t i
igūrū	i ɡ u r u
uyu	u j u
bara	b a r a
keda	k e d a
