word,ipa_yoruba,ipa_swahili,agreement,primary_candidate_ipa,alternate_candidate_ipa,approved_ipa,review_status,reviewer_notes,source
rangi,r ã ɡ i,r a ɡ i,no,r ã ɡ i,r a ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
mwena,m w e n a,m w a n a,no,m w e n a,m w a n a,,needs-analyst-review,,transphone_yoruba_swahili
kenya,k ẽ j a,k a ɲ a,no,k ẽ j a,k a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
mwaka,m w a k a,m w a k a,yes,m w a k a,,m w a k a,auto-accepted,,transphone_yoruba_swahili
ini,ĩ n i,i n i,no,ĩ n i,i n i,,needs-analyst-review,,transphone_yoruba_swahili
iria,i r i a,i r i a,yes,i r i a,,i r i a,auto-accepted,,transphone_yoruba_swahili
rwa,r w a,r w a,yes,r w a,,r w a,auto-accepted,,transphone_yoruba_swahili
iní,ĩ n i,i n i,no,ĩ n i,i n i,,needs-analyst-review,,transphone_yoruba_swahili
thutha,s u s a,t u t a,no,s u s a,t u t a,,needs-analyst-review,,transphone_yoruba_swahili
ona,o n a,ɔ n a,no,o n a,ɔ n a,,needs-analyst-review,,transphone_yoruba_swahili
nginya,m ĩ j a,ŋ i ɲ a,no,m ĩ j a,ŋ i ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
nene,n e n e,n a n a,no,n e n e,n a n a,,needs-analyst-review,,transphone_yoruba_swahili
hena,h e n a,h a n a,no,h e n a,h a n a,,needs-analyst-review,,transphone_yoruba_swahili
mbere,b e r e,m b a r a,no,b e r e,m b a r a,,needs-analyst-review,,transphone_yoruba_swahili
nairobi,n a i r o b i,n a i r ɔ b i,no,n a i r o b i,n a i r ɔ b i,,needs-analyst-review,,transphone_yoruba_swahili
imwe,ĩ w e,i m w a,no,ĩ w e,i m w a,,needs-analyst-review,,transphone_yoruba_swahili
inì,i n i,i n i,yes,i n i,,i n i,auto-accepted,,transphone_yoruba_swahili
bururi,b u r u r i,b u r u r i,yes,b u r u r i,,b u r u r i,auto-accepted,,transphone_yoruba_swahili
kia,k i a,k i a,yes,k i a,,k i a,auto-accepted,,transphone_yoruba_swahili
mweri,m w e r i,m w a r i,no,m w e r i,m w a r i,,needs-analyst-review,,transphone_yoruba_swahili
kuuma,k u m a,k u m a,yes,k u m a,,k u m a,auto-accepted,,transphone_yoruba_swahili
inî,ĩ n i,i n i,no,ĩ n i,i n i,,needs-analyst-review,,transphone_yoruba_swahili
degrees,d e ɡ r e s,d a ɡ r a s,no,d e ɡ r e s,d a ɡ r a s,,needs-analyst-review,,transphone_yoruba_swahili
kuma,k u m a,k u m a,yes,k u m a,,k u m a,auto-accepted,,transphone_yoruba_swahili
andú,ẽ d u,a d u,no,ẽ d u,a d u,,needs-analyst-review,,transphone_yoruba_swahili
thaa,s a,t a,no,s a,t a,,needs-analyst-review,,transphone_yoruba_swahili
magana,m a ɡ a n a,m a ɡ a n a,yes,m a ɡ a n a,,m a ɡ a n a,auto-accepted,,transphone_yoruba_swahili
ikumi,i k u m i,i k u m i,yes,i k u m i,,i k u m i,auto-accepted,,transphone_yoruba_swahili
mbura,b u r a,m b u r a,no,b u r a,m b u r a,,needs-analyst-review,,transphone_yoruba_swahili
andu,ã d u,a d u,no,ã d u,a d u,,needs-analyst-review,,transphone_yoruba_swahili
inya,ĩ j a,i ɲ a,no,ĩ j a,i ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
kĩa,k e a,k a,no,k e a,k a,,needs-analyst-review,,transphone_yoruba_swahili
matu,m a t u,m a t u,yes,m a t u,,m a t u,auto-accepted,,transphone_yoruba_swahili
maita,m a i t a,m a i t a,yes,m a i t a,,m a i t a,auto-accepted,,transphone_yoruba_swahili
wake,w a k e,w a k a,no,w a k e,w a k a,,needs-analyst-review,,transphone_yoruba_swahili
kenda,k ẽ d a,k a n d a,no,k ẽ d a,k a n d a,,needs-analyst-review,,transphone_yoruba_swahili
múthenya,m u s ẽ j a,m u t a ɲ a,no,m u s ẽ j a,m u t a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
kìa,k i a,k i a,yes,k i a,,k i a,auto-accepted,,transphone_yoruba_swahili
inyanya,ĩ j ã j a,i ɲ a ɲ a,no,ĩ j ã j a,i ɲ a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
būrūri,b u r u r i,b u r u r i,yes,b u r u r i,,b u r u r i,auto-accepted,,transphone_yoruba_swahili
igana,i ɡ a n a,i ɡ a n a,yes,i ɡ a n a,,i ɡ a n a,auto-accepted,,transphone_yoruba_swahili
ithano,i s a n o,i t a n ɔ,no,i s a n o,i t a n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
wega,w e ɡ a,w a ɡ a,no,w e ɡ a,w a ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
ngiri,m i r i,ŋ i r i,no,m i r i,ŋ i r i,,needs-analyst-review,,transphone_yoruba_swahili
muno,m u n o,m u n ɔ,no,m u n o,m u n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kiumia,k i u m i a,k i u m i a,yes,k i u m i a,,k i u m i a,auto-accepted,,transphone_yoruba_swahili
ithimi,i s i m i,i t i m i,no,i s i m i,i t i m i,,needs-analyst-review,,transphone_yoruba_swahili
nginyagia,m ĩ j a ɡ i a,ŋ i ɲ a ɡ i a,no,m ĩ j a ɡ i a,ŋ i ɲ a ɡ i a,,needs-analyst-review,,transphone_yoruba_swahili
kuria,k u r i a,k u r i a,yes,k u r i a,,k u r i a,auto-accepted,,transphone_yoruba_swahili
mìrongo,m i r o ɡ o,m i r ɔ n ɡ ɔ,no,m i r o ɡ o,m i r ɔ n ɡ ɔ,,needs-analyst-review,,transphone_yoruba_swahili
irio,i r i o,i r i ɔ,no,i r i o,i r i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
barabara,b a r a b a r a,b a r a b a r a,yes,b a r a b a r a,,b a r a b a r a,auto-accepted,,transphone_yoruba_swahili
búrúri,b u r u r i,b u r u r i,yes,b u r u r i,,b u r u r i,auto-accepted,,transphone_yoruba_swahili
ici,i t i,i t i,yes,i t i,,i t i,auto-accepted,,transphone_yoruba_swahili
múno,m u n o,m u n ɔ,no,m u n o,m u n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
mūno,m u n o,m u n ɔ,no,m u n o,m u n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
rìa,r i a,r i a,yes,r i a,,r i a,auto-accepted,,transphone_yoruba_swahili
ūrìa,u r i a,u r i a,yes,u r i a,,u r i a,auto-accepted,,transphone_yoruba_swahili
hari,h a r i,h a r i,yes,h a r i,,h a r i,auto-accepted,,transphone_yoruba_swahili
hinya,h ĩ j a,h i ɲ a,no,h ĩ j a,h i ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
green,ɡ r e ẽ,ɡ r a n,no,ɡ r e ẽ,ɡ r a n,,needs-analyst-review,,transphone_yoruba_swahili
heho,h e h o,h a h ɔ,no,h e h o,h a h ɔ,,needs-analyst-review,,transphone_yoruba_swahili
uria,u r i a,u r i a,yes,u r i a,,u r i a,auto-accepted,,transphone_yoruba_swahili
ìno,ĩ n o,i n ɔ,no,ĩ n o,i n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
amu,a m u,a m u,yes,a m u,,a m u,auto-accepted,,transphone_yoruba_swahili
ngui,m w i,ŋ u i,no,m w i,ŋ u i,,needs-analyst-review,,transphone_yoruba_swahili
makiria,m a k i r i a,m a k i r i a,yes,m a k i r i a,,m a k i r i a,auto-accepted,,transphone_yoruba_swahili
ìmwe,ĩ w e,i m w a,no,ĩ w e,i m w a,,needs-analyst-review,,transphone_yoruba_swahili
africa,a f r i t a,a f r i t a,yes,a f r i t a,,a f r i t a,auto-accepted,,transphone_yoruba_swahili
hau,h a w,h a w,yes,h a w,,h a w,auto-accepted,,transphone_yoruba_swahili
igiri,i ɡ i r i,i ɡ i r i,yes,i ɡ i r i,,i ɡ i r i,auto-accepted,,transphone_yoruba_swahili
kía,k i a,k i a,yes,k i a,,k i a,auto-accepted,,transphone_yoruba_swahili
wayo,w a j o,w a j ɔ,no,w a j o,w a j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
bûrûri,b u r u r i,b u r u r i,yes,b u r u r i,,b u r u r i,auto-accepted,,transphone_yoruba_swahili
gia,ɡ i a,ɡ i a,yes,ɡ i a,,ɡ i a,auto-accepted,,transphone_yoruba_swahili
blue,b l u e,b l u a,no,b l u e,b l u a,,needs-analyst-review,,transphone_yoruba_swahili
ena,e n a,a n a,no,e n a,a n a,,needs-analyst-review,,transphone_yoruba_swahili
indo,ĩ d o,i n d ɔ,no,ĩ d o,i n d ɔ,,needs-analyst-review,,transphone_yoruba_swahili
nacio,n a t i o,n a t i ɔ,no,n a t i o,n a t i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ũrĩa,o r e a,ɔ r a,no,o r e a,ɔ r a,,needs-analyst-review,,transphone_yoruba_swahili
aria,a r i a,a r i a,yes,a r i a,,a r i a,auto-accepted,,transphone_yoruba_swahili
kenyatta,k e m a t a,k a ɲ a t a,no,k e m a t a,k a ɲ a t a,,needs-analyst-review,,transphone_yoruba_swahili
ari,a r i,a r i,yes,a r i,,a r i,auto-accepted,,transphone_yoruba_swahili
mĩrongo,m e r o ɡ o,m a r ɔ ŋ ɡ ɔ,no,m e r o ɡ o,m a r ɔ ŋ ɡ ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ìrì,i r i,i r i,yes,i r i,,i r i,auto-accepted,,transphone_yoruba_swahili
kîa,k i a,k i a,yes,k i a,,k i a,auto-accepted,,transphone_yoruba_swahili
mathaa,m a s a,m a t a,no,m a s a,m a t a,,needs-analyst-review,,transphone_yoruba_swahili
road,r o a t,r ɔ a d,no,r o a t,r ɔ a d,,needs-analyst-review,,transphone_yoruba_swahili
mîrongo,m i r õ ɡ o,m i r ɔ ŋ ɡ ɔ,no,m i r õ ɡ o,m i r ɔ ŋ ɡ ɔ,,needs-analyst-review,,transphone_yoruba_swahili
thì,s i,t i,no,s i,t i,,needs-analyst-review,,transphone_yoruba_swahili
ihenya,i h ẽ j a,i h a ɲ a,no,i h ẽ j a,i h a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
ino,i n o,i n ɔ,no,i n o,i n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
mirongo,m i r õ ɡ o,m i r ɔ ŋ ɡ ɔ,no,m i r õ ɡ o,m i r ɔ ŋ ɡ ɔ,,needs-analyst-review,,transphone_yoruba_swahili
oho,o h o,ɔ h ɔ,no,o h o,ɔ h ɔ,,needs-analyst-review,,transphone_yoruba_swahili
wao,w a o,w a ɔ,no,w a o,w a ɔ,,needs-analyst-review,,transphone_yoruba_swahili
múndú,m ũ d u,m u n d u,no,m ũ d u,m u n d u,,needs-analyst-review,,transphone_yoruba_swahili
ciana,t i a n a,t i a n a,yes,t i a n a,,t i a n a,auto-accepted,,transphone_yoruba_swahili
mita,m i t a,m i t a,yes,m i t a,,m i t a,auto-accepted,,transphone_yoruba_swahili
mūndū,m ũ d u,m u n d u,no,m ũ d u,m u n d u,,needs-analyst-review,,transphone_yoruba_swahili
ría,r i a,r i a,yes,r i a,,r i a,auto-accepted,,transphone_yoruba_swahili
tondū,t o d u,t ɔ n d u,no,t o d u,t ɔ n d u,,needs-analyst-review,,transphone_yoruba_swahili
ihinda,i h ĩ d a,i h i d a,no,i h ĩ d a,i h i d a,,needs-analyst-review,,transphone_yoruba_swahili
